,name,actor_id,gender,character,actor_popularity,movie_id
272,Richard Harris,194.0,2.0,Albus Dumbledore,13.196,672
273,Tom Felton,10993.0,2.0,Draco Malfoy,11.973,672
274,Dave Bautista,543530.0,2.0,Scott Ward,14.727,503736
275,Ella Purnell,989325.0,1.0,Kate Ward,22.796,503736
276,Matthias Schweighöfer,16808.0,2.0,Ludwig Dieter,10.453,503736
277,Nora Arnezeder,453272.0,1.0,Lilly / The Coyote,11.073,503736
278,Hiroyuki Sanada,9195.0,2.0,Bly Tanaka,10.782,503736
279,Nicolas Cage,2963.0,2.0,John Koestler,14.831,13811
280,Rose Byrne,9827.0,1.0,Diana Wayland,15.137,13811
281,James Marsden,11006.0,2.0,Hitch Trailblazer (voice),10.0,597316
282,Sofia Carson,1331457.0,1.0,Pipp Petals (voice),10.855,597316
283,Tara Strong,15762.0,1.0,Twilight Sparkle (voice),10.319,597316
284,Takeru Satoh,230659.0,2.0,Kenshin Himura,14.356,672322
285,Kasumi Arimura,1039305.0,1.0,Tomoe Yukishiro,18.402,672322
286,Nijiro Murakami,1310719.0,2.0,Soji Okita,10.746,672322
287,Tom Hiddleston,91606.0,2.0,Loki (voice),20.814,846214
288,Dawnn Lewis,87819.0,1.0,Ravonna Renslayer (voice),12.727,846214
289,Matthew Lillard,26457.0,2.0,Shaggy Rogers (voice),16.735,843906
290,Frank Welker,15831.0,2.0,Scooby-Doo / Fred Jones (voice),10.655,843906
291,Milla Jovovich,63.0,1.0,Artemis,12.823,458576
292,Ron Perlman,2372.0,2.0,Admiral,10.224,458576
293,Daniel Radcliffe,10980.0,2.0,Harry Potter,13.689,674
294,Emma Watson,10990.0,1.0,Hermione Granger,23.219,674
295,Ralph Fiennes,5469.0,2.0,Lord Voldemort,11.938,674
296,Gary Oldman,64.0,2.0,Sirius Black,13.152,674
297,Robert Pattinson,11288.0,2.0,Cedric Diggory,10.561,674
298,Tom Felton,10993.0,2.0,Draco Malfoy,11.973,674
299,Colin Farrell,72466.0,2.0,Simon,12.358,539885
300,Gal Gadot,90633.0,1.0,Diana Prince / Wonder Woman,58.404,464052
301,Connie Nielsen,935.0,1.0,Hippolyta,21.811,464052
302,Lyubov Aksyonova,1318905.0,1.0,Yuliya Pchelkina,11.357,529106
303,Josephine Langford,1753914.0,1.0,Tessa Young,18.476,537915
304,Hero Fiennes Tiffin,1114487.0,2.0,Hardin Scott,10.69,537915
305,Dylan Arnold,1039523.0,2.0,Noah Porter,19.614,537915
306,Peter Gallagher,8212.0,2.0,Ken Scott,17.38,537915
307,Mary Elizabeth Winstead,17628.0,1.0,Kate,20.401,597891
308,Woody Harrelson,57755.0,2.0,Varrick,26.635,597891
309,Daniel Radcliffe,10980.0,2.0,Harry Potter,13.689,673
310,Emma Watson,10990.0,1.0,Hermione Granger,23.219,673
311,Gary Oldman,64.0,2.0,Sirius Black,13.152,673
312,Tom Felton,10993.0,2.0,Draco Malfoy,11.973,673
313,Emma Thompson,7056.0,1.0,Sybill Trelawney,11.817,673
314,Liam Neeson,3896.0,2.0,Jim,16.014,634528
315,Katheryn Winnick,26723.0,1.0,Sarah,19.746,634528
316,Robert Downey Jr.,3223.0,2.0,Tony Stark / Iron Man,22.489,299534
317,Chris Evans,16828.0,2.0,Steve Rogers / Captain America,12.794,299534
318,Chris Hemsworth,74568.0,2.0,Thor Odinson,17.1,299534
319,Scarlett Johansson,1245.0,1.0,Natasha Romanoff / Black Widow,35.485,299534
320,Jeremy Renner,17604.0,2.0,Clint Barton / Hawkeye,14.855,299534
321,Paul Rudd,22226.0,2.0,Scott Lang / Ant-Man,25.702,299534
322,Benedict Cumberbatch,71580.0,2.0,Stephen Strange / Doctor Strange,19.006,299534
323,Brie Larson,60073.0,1.0,Carol Danvers / Captain Marvel,16.56,299534
324,Tom Holland,1136406.0,2.0,Peter Parker / Spider-Man,58.2,299534
325,Karen Gillan,543261.0,1.0,Nebula,20.728,299534
326,Zoe Saldana,8691.0,1.0,Gamora,17.706,299534
327,Evangeline Lilly,19034.0,1.0,Hope Van Dyne / Wasp,13.784,299534
328,Tessa Thompson,62561.0,1.0,Valkyrie,13.089,299534
329,Elizabeth Olsen,550843.0,1.0,Wanda Maximoff / Scarlet Witch,13.211,299534
330,Anthony Mackie,53650.0,2.0,Sam Wilson / Falcon,12.885,299534
331,Sebastian Stan,60898.0,2.0,Bucky Barnes / Winter Soldier,15.432,299534
332,Tom Hiddleston,91606.0,2.0,Loki,20.814,299534
333,Benedict Wong,30082.0,2.0,Wong,23.568,299534
334,Dave Bautista,543530.0,2.0,Drax,14.727,299534
335,Tilda Swinton,3063.0,1.0,The Ancient One,10.336,299534
336,Jon Favreau,15277.0,2.0,Harold 'Happy' Hogan,10.248,299534
337,Hayley Atwell,39459.0,1.0,Peggy Carter,10.996,299534
338,Natalie Portman,524.0,1.0,Jane Foster,10.695,299534
339,Marisa Tomei,3141.0,1.0,Aunt May,10.199,299534
340,Taika Waititi,55934.0,2.0,Korg (voice),14.483,299534
341,Frank Grillo,81685.0,2.0,Brock Rumlow,17.623,299534
342,Hiroyuki Sanada,9195.0,2.0,Akihiko,10.782,299534
343,Vin Diesel,12835.0,2.0,Groot (voice),25.5,299534
344,Bradley Cooper,51329.0,2.0,Rocket (voice),11.039,299534
