adult,backdrop_path,genre_ids,movie_id,original_language,original_title,overview,popular,poster_path,upcoming,title,video,vote_average,vote_count
False,,"[10749, 18]",667642,en,Beauty,"The story of Beauty, an up-and-coming young singer with a glamorous career ahead of her, and Jasmine, a butch queer woman who falls for her best friend, Beauty.",7.521,/ddye60HbMpRNv8HO99wDbYVcS9t.jpg,2021-12-01,Beauty,False,0.0,0
False,/18diCYWCxODOpeJNV89hoPyobxj.jpg,"[18, 35, 10402]",498402,fr,Aline,The life story of Canadian singing sensation Céline Dion.,7.471,/gYbB8naXFVUB9KX7efy6HrFrWIU.jpg,2020-11-19,Aline,False,7.5,38
False,/7dAVgA0rWtYcUL7ZT0gfaaoUxCX.jpg,"[36, 10752, 28]",617405,ml,മരക്കാർ - അറബിക്കടലിൻ്റെ സിംഹം,"‘Marakkar Lion of the Arabian Sea’ portrays the courageous life-events of a rebellious naval chief, Kunjali Marakkar the fourth, who fought against the Portuguese in the ancient times. He was the fourth naval chief of the Calicut Zamorin. The film revolves around him who was also the first Indian Naval Commander and Indian freedom fighter for the war against the Portuguese. He is said to have won 16 such battles with his impeccable strategies and fighting skills.",7.279,/odzk31cAAqD7A2MGtm4Hply9H3c.jpg,2021-12-02,Marakkar - Arabikadalinte Simham,False,0.0,0
False,/203c2W9UIyMA5BcDtLltzQlgvum.jpg,"[18, 9648, 53]",673121,en,Wolf,"Jacob, a man who believes he is a wolf trapped in a human body, is sent to a clinic by his family where he is forced to undergo increasingly extreme forms of ""curative"" therapies at the hands of The Zookeeper. Jacob’s only solace is the enigmatic wildcat with whom he roams the hospital in the dead of night. The two form an improbable friendship that develops into infatuation.",7.192,/tuUfHqQNzwX2g1puBSnYi8TGTIV.jpg,2021-12-03,Wolf,False,0.0,0
False,/ouUJ3kTMf5FyOTiiz90r9fCW6HA.jpg,"[10402, 18]",528761,en,Coda,A famous pianist at the twilight of his career meets a free-spirited music critic who soon becomes his rock as his mental state deteriorates.,7.182,/v8w80VLACr7wz97dlGK8GvNIGbP.jpg,2020-01-31,Coda,False,6.6,41
False,/38kDsS0ASb72tWIgCqAZLBl7Vy8.jpg,[27],530156,en,Hurt,Masks in horror conceal actors faces. Everyday masks conceal the disturbing undercurrent of those fighting inner demons.,7.106,/1neKx9MmI9BztoY7PmDwKs2EIHl.jpg,2021-12-10,Hurt,False,0.0,0
False,/1eKFWBEGYfAvcMf4Lr8SvmOjaXP.jpg,"[80, 53]",624481,en,The Birthday Cake,"On the 10th anniversary of his father's death, Giovanni reluctantly accepts the task of bringing a cake to the home of his uncle, a mob boss, for a celebration. Just two hours into the night, Gio's life is forever changed.",6.983,/kI3lTv3f24Fzl2kD0sYVCvCOZh2.jpg,2021-06-18,The Birthday Cake,False,6.0,19
False,/lRFAjHmx5foEU89AaTxj7Ppjvr2.jpg,[18],719463,fr,Haute couture,"Esther is at the end of her career as Head Seamstress at Dior Avenue Montaigne workshop. One day, she gets her handbag stolen in the metro by a 20 years old girl, Jade. Instead of calling the police she decides to take care of Jade. She sees in her the opportunity to pass on her skills, the craft of dressmaking, her only wealth. In the frenetic world of Haute Couture, Esther will give Jade la beauté du geste, a way to reach beyond herself.",6.956,/e7tSj5QIQd2tpd5nh1uO8Cnf9O.jpg,2021-11-10,Haute Couture,False,6.7,9
False,/hvpr2cVsDOhUGXae1z070ap4QsQ.jpg,"[16, 36, 18, 14, 10752]",426242,en,Where Is Anne Frank,"The film follows the journey of Kitty, the imaginary friend to whom Anne Frank dedicated her diary. A fiery teenager, Kitty wakes up in the near future in Anne Frank's house in Amsterdam and embarks on a journey to find Anne, who she believes is still alive, in today's Europe. While the young girl is shocked by the modern world, she also comes across Anne's legacy.",6.946,/fqbjMRww952hOuVKS0QDDEeiSYs.jpg,2021-11-25,Where Is Anne Frank,False,0.0,0
False,/5oC3Q3RfPDAp9qiLGuZt3XQLgWA.jpg,"[18, 35]",763329,en,Red Rocket,"Finding himself down and out in Los Angeles, ex porn star Mikey Saber decides to crawl back to his hometown of Texas City, Texas, where his estranged wife and mother-in-law are living. Just as this dysfunctional family seems to be making things work, Mikey meets a young woman named Strawberry working the cash register at a local doughnut shop.",6.88,/345gLhiNpItU1ICx8OxJQwjgPmH.jpg,2021-12-03,Red Rocket,False,0.0,0
False,,[99],776528,en,Try Harder!,"In a universe where cool kids are nerds, the orchestra is world class and being Asian American is the norm, seniors at Lowell High School compete for the top prize: admission to the college of their dreams.",6.862,/aTDoKQ2fvBrOkpyud7dh8tAiRl1.jpg,2021-12-03,Try Harder!,False,0.0,0
False,/4cKsnfHx3BYtQJ8SdPj8uPUB7Np.jpg,"[10770, 35, 10749]",866665,en,Sister Swap: A Hometown Holiday,"Jennifer and Meg Swift are two sisters who are very close despite living far apart. Jennifer is in Salt Lake City, running a successful restaurant she started with her late husband and raising her teenaged son Simon, Meg stayed in their hometown of Hazelwood, helping their parents run the local bakery.",6.855,/zb7fvRXVsDneU11NkTWE1suvX3h.jpg,2021-12-05,Sister Swap: A Hometown Holiday,False,0.0,0
False,,[99],850990,en,Citizen Ashe,Follows the life and career of Arthur Ashe.,6.547,/nBegDeS2U3gRmoMtYBbkWjnDvlN.jpg,2021-12-03,Citizen Ashe,False,0.0,0
