movie_id,title,release_date,movie_popularity,vote_average,vote_count,budget,revenue,rating,studios,genres
12096,The Pink Panther,2006-02-10,20.637,5.9,1498,65000000,158851357,PG,"['Metro-Goldwyn-Mayer', ' Columbia Pictures', ' Robert Simonds Productions']","['Comedy', 'Family', 'Mystery', 'Crime', 'Adventure', 'Action']"
9728,Friday the 13th Part III,1982-08-13,20.631,5.8,950,4000000,36690067,R,"['Other', ' Georgetown Productions Inc.', ' Paramount']",['Horror']
438689,Siberia,2018-07-13,20.63,4.8,399,2000000,2006704,R,"['Other', ' Other', ' Company Films']","['Crime', 'Romance', 'Thriller']"
332567,The Shallows,2016-06-24,20.621,6.4,4263,17000000,119100758,PG-13,"['Columbia Pictures', ' Other', ' Other']","['Horror', 'Drama', 'Thriller']"
8843,The Cell,2000-08-17,20.618,6.3,1152,33000000,104155843,R,"['Other', ' Other', ' New Line Cinema', ' Other', ' Other']","['Horror', 'Science Fiction', 'Thriller']"
50321,Mars Needs Moms,2011-03-09,20.606,6.1,508,150000000,38992758,PG,"['Walt Disney Pictures', ' ImageMovers']","['Adventure', 'Animation', 'Family']"
9669,Ringu 2,1999-01-23,20.591,5.8,270,6000000,18686644,NR,"['Other', ' Other', ' Other']","['Horror', 'Mystery', 'Science Fiction']"
10357,Volcano,1997-04-25,20.571,5.8,1103,90000000,122823468,PG-13,"['20th Century Fox', ' Fox 2000 Pictures', ' Other']","['Science Fiction', 'Action', 'Drama', 'Thriller']"
122857,Universal Soldier: Day of Reckoning,2012-10-04,20.57,5.5,309,11500000,1402307,R,"['Other', ' Foresight Unlimited', ' Other']","['Action', 'Science Fiction', 'Thriller']"
38117,Beastly,2011-01-21,20.565,6.3,2417,17000000,43202283,PG-13,"['Other', ' CBS Films', ' Other']","['Drama', 'Fantasy', 'Romance']"
10603,George of the Jungle,1997-07-15,20.564,5.6,1592,55000000,174463257,PG,"['Mandeville Films', ' Walt Disney Pictures']","['Adventure', 'Comedy', 'Family', 'Romance']"
82990,Paranormal Activity 4,2012-10-17,20.556,5.4,1486,5000000,142817992,R,"['Room 101', ' Paramount', ' Blumhouse Productions', ' Solana Films']",['Horror']
10007,See No Evil,2006-05-19,20.554,5.4,475,8000000,18564467,R,"['Lions Gate Films', ' WWE Studios']","['Horror', 'Thriller']"
392044,Murder on the Orient Express,2017-11-03,20.534,6.7,7859,55000000,351839303,PG-13,"['The Mark Gordon Company', ' Scott Free Productions', ' Genre Films']","['Mystery', 'Crime', 'Drama']"
302401,Snowden,2016-09-15,20.534,7.1,3567,40000000,37357216,R,"['Other', ' Vendian Entertainment', ' Endgame Entertainment']","['Drama', 'History', 'Crime', 'Thriller']"
77,Memento,2000-10-11,20.516,8.2,11650,9000000,39723096,R,"['Summit Entertainment', ' Newmarket Capital Group', ' Other', ' Other']","['Mystery', 'Thriller']"
325789,The Infiltrator,2016-07-13,20.504,6.6,1351,28000000,21011110,R,['Other'],"['Crime', 'Drama', 'Thriller']"
9341,The Core,2003-03-28,20.498,5.7,1335,60000000,74208267,PG-13,"['Paramount', ' Other', ' Other', ' Other', ' Other', ' Other']","['Action', 'Thriller', 'Adventure', 'Science Fiction']"
287424,Maggie,2015-05-08,20.493,5.3,1332,4000000,187112,PG-13,"['Other', ' Lionsgate', ' Grindstone Entertainment Group', ' Other', ' Silver Reel', ' Other', ' Other']","['Horror', 'Drama', 'Mystery']"
9655,She's the Man,2006-03-17,20.456,6.8,2358,20000000,33889159,PG-13,"['Lakeshore Entertainment', ' DreamWorks Pictures']","['Comedy', 'Drama', 'Family', 'Romance']"
33,Unforgiven,1992-08-07,20.449,7.9,3173,14400000,159157447,R,"['Warner Bros. Pictures', ' Malpaso Productions']",['Western']
37950,Charlie St. Cloud,2010-07-30,20.43,7.0,1880,44000000,48190704,PG-13,"['Marc Platt Productions', ' Universal Pictures', ' Relativity Media']","['Romance', 'Drama']"
510,One Flew Over the Cuckoo's Nest,1975-11-18,20.428,8.4,8192,3000000,108981275,R,['Other'],['Drama']
44115,127 Hours,2010-11-12,20.421,7.1,6107,18000000,35692920,R,"['Fox Searchlight Pictures', ' Pathé', ' Other', ' Other', ' Warner Bros. Pictures', ' Film4 Productions', ' Other']","['Adventure', 'Drama', 'Thriller']"
682,The Man with the Golden Gun,1974-12-01,20.403,6.4,1440,7000000,97572000,PG,"['United Artists', ' Eon Productions', ' Danjaq']","['Adventure', 'Action', 'Thriller']"
226857,Endless Love,2014-02-12,20.395,6.9,1417,20000000,34077920,PG-13,"['Bluegrass Films', ' Other']","['Drama', 'Romance']"
